time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
1.600000,none,3,16.617703,0.000000,0.300000,0.002667
2.100000,3,none,0.000000,0.500000,0.000000,0.000000
3.600000,none,3,17.083320,0.000000,0.300000,0.002667
5.500000,3,none,0.000000,0.500000,0.000000,0.000000
6.600000,none,3,17.660503,0.000000,0.300000,0.002667
8.600000,3,none,0.000000,0.500000,0.000000,0.000000
41.700000,none,3,16.704478,0.000000,0.300000,0.002667
42.800000,3,none,0.000000,0.500000,0.000000,0.000000
68.700000,none,1,16.862723,0.000000,0.300000,0.002667
69.200000,1,none,0.000000,0.500000,0.000000,0.000000
90.000000,none,3,17.485999,0.000000,0.300000,0.002667
91.300000,3,none,0.000000,0.500000,0.000000,0.000000
103.200000,none,5,16.829712,0.000000,0.300000,0.002667
103.600000,5,none,0.000000,0.500000,0.000000,0.000000
